,x,y,y+1,y+2,y+3
2019-10-23,243.18,249.15117,252.42642,253.90518,243.77637
2019-10-24,243.58,250.49178,251.43948,251.03276,254.4476
2019-10-25,246.58,250.57036,252.7809,256.67447,255.25162
2019-10-28,249.05,252.96423,253.41359,252.82193,253.54283
2019-10-29,243.29,246.99709,238.9224,239.4146,224.55083
2019-10-30,243.26,237.66878,237.39365,217.80296,224.45491
2019-10-31,248.76,254.00305,252.99883,249.09598,251.90337
2019-11-01,255.82,253.03261,249.37354,252.08269,243.74211
2019-11-04,257.5,251.77376,250.4677,242.57024,247.43092
2019-11-05,257.13,251.17964,251.08403,249.41129,245.13205
